x
464
479
535
589
576
611
595
626
636
643
544
480
436
299
210
153
32
25
25
18
12
45
16
95
19
34
102
37
103
17
183
126
214
124
147
205
216
124
186
189
304
358
351
256
275
142
125
37
234
87
583
777
227
352
103
489
443
240
272
339
710
176
276
527
53
26
139
140
381
336
307
389
503
567
653
