x
410
438
470
448
464
550
429
743
667
797
1018
1147
1040
928
880
567
446
213
178
13
174
351
583
874
1080
1117
1428
1586
1726
1520
1503
1309
1163
1015
658
581
283
210
41
42
305
174
271
333
322
366
684
272
597
565
577
634
508
1248
1616
1946
2167
1975
1966
1723
1447
1114
703
366
137
46
147
742
1428
1776
2208
2455
2559
2413
2175
