x
234
20
96
381
661
818
1063
976
691
659
592
190
9
81
109
0
197
102
116
208
194
215
213
160
164
170
233
377
541
648
389
209
49
42
0
0
14
368
627
585
641
574
825
240
113
0
176
174
304
15
207
128
253
225
249
134
153
287
272
37
549
611
903
1126
789
868
146
7
446
341
643
982
1090
1434
967
