x
81
115
83
220
233
318
244
314
260
187
226
240
207
288
278
272
251
211
141
274
152
192
208
185
261
144
144
560
157
277
139
125
157
29
690
221
128
79
407
653
118
79
445
173
108
153
37
49
42
80
144
256
51
42
52
38
48
49
80
42
48
47
87
464
108
306
704
624
570
662
730
598
557
754
852
