x
543
395
193
125
249
94
140
41
31
116
74
37
257
362
428
592
930
1010
1126
1281
1200
1467
1555
1429
1559
1504
1621
1341
1305
1627
1200
947
869
912
674
529
435
121
375
112
256
48
16
64
82
71
180
333
289
272
258
335
395
479
427
420
494
411
336
425
460
505
486
437
481
413
495
463
592
903
1069
1375
1584
1823
1760
