x
2399
2086
2969
2497
2806
2774
2813
3225
3177
2672
2722
2494
2196
2067
1913
2112
1136
1580
2066
1476
848
1320
1148
944
64
1079
571
717
381
534
305
333
84
198
118
733
587
598
748
1009
1040
1217
1613
1466
1631
1423
1659
1811
1920
1685
1650
1970
1632
1601
1691
1586
1514
1521
1488
1317
1136
1079
1121
914
848
954
1022
787
579
704
577
619
641
615
466
