x
23
590
187
312
805
387
178
1120
646
1012
828
1058
1376
1711
1841
2503
2491
3049
2737
2866
3205
4095
3049
2320
1686
1088
729
368
309
1180
1398
1568
2013
2214
2352
2986
3015
3201
3151
3134
2775
2261
1619
1070
433
458
153
51
49
49
88
46
93
286
96
419
546
839
1007
1033
1162
1251
1838
1787
2219
2598
2605
2885
3101
3099
2875
2975
2762
2003
1232
