x
321
320
289
474
427
538
575
878
395
915
784
2393
1851
2103
1672
1919
2016
1360
786
814
379
325
19
485
720
752
1136
1637
1604
1600
1286
1391
1775
718
386
86
48
137
402
422
501
455
43
819
554
518
105
435
454
854
658
626
499
654
718
970
1149
1295
1389
1355
1015
1114
757
499
322
46
29
252
640
705
985
1146
1109
1194
1319
