x
207
57
13
35
254
32
182
306
113
128
146
98
0
101
594
310
34
1042
198
212
2023
261
368
793
0
244
705
98
1158
225
169
530
92
64
144
96
0
69
761
0
45
0
547
86
40
163
179
111
9
549
562
727
1044
912
583
706
334
677
7
1139
965
192
704
1110
1097
1185
665
878
1098
561
0
123
957
739
419
